"Название (Аббр.): Чек-лист для приложения ""Мобильный хоспис"". (MH)";;;
Описание:;;;
Статус: Не согласован;;;
Проверка формы авторизации;;;
;;;
№;Приоритет;Проверка;Результат
1;Средний;В поле логин и пароль введены данные существующего аккаунта;Авторизация прошла успешно. Пользователю виден главный экран c новостями и претензиями.
2;Средний;Введены данные несуществующего аккаунта;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными."
3;Средний;Введен несуществующий логин и существующий пароль;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными."
4;Средний;Введен несущестующий пароль и существующий логин;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными."
5;Средний;Оставить поля логина и пароля пустыми;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми""."
6;Средний;Оставить поле логина пустым + существующий пароль;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми""."
7;Средний;Оставить поле пароля пустым + существующий логин;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми""."
8;Средний;Ввести пробелы в поля логина и пароля;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми""."
9;Средний;Ввести пробелы в поле логина и существующий пароль;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми""."
10;Средний;Ввести пробелы в поле пароля и существующий логин;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми""."
11;Средний;Ввести спецсимволы в поля логина и пароля;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными."
12;Средний;Ввести спецсимволы в поле логина и существующий пароль;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными."
13;Средний;Ввести спецсимволы в поле пароля и существующий логин;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными."
;;;
Проверка раздела претензий;;;
;;;
№;Приоритет;Проверка;Результат
14;Средний;Переход в раздел претензий через Гамбургер-меню;Открывается раздел претензий. Видны ранее созданные претензии, кнопка фильтрации, кнопка создания новой претензии.
15;Средний;Создание претензии с заполнением всех полей;"Претензия создана с заполненными данными, присвоен статус "" в работе"". Претензия появляется в общем списке заявок."
16;Средний;"Создание претензии с пустым полем ""Тема""";"Появляется сообщение "" Заполните пустые поля "". Внутри поля появляется красный восклицательный знак в круге."
17;Средний;"Ввод только пробелов в поле ""Тема"".";"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге."
18;Средний;"Ввод только цифр в поле ""Тема"".";Появляется сообщение о том, что в данном поле должны присутствовать буквы. Внутри поля появляется красный восклицательный знак.
19;Средний;"Ввод только символов в поле ""Тема""";Появляется сообщение о том, что в данном поле должны присутствовать буквы. Внутри поля появляется красный восклицательный знак.
20;Средний;Ввод названия темы, содержащего символы;"Претензия создана с заполненными данными, присвоен статус "" в работе"". Претензия появляется в общем списке заявок."
21;Средний;Создание претензии с пустыми полями даты и времени;"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге."
22;Средний;Создание претензии с пустым полем даты;"Появляется сообщение "" Заполните пустые поля "". Внутри поля появляется красный восклицательный знак в круге."
23;Средний;Создание претензии с пустым полем времени;"Появляется сообщение "" Заполните пустые поля "". Внутри поля появляется красный восклицательный знак в круге."
24;Средний;"Создание претензии с пустым полем ""Описание""";"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге."
25;Средний;"Ввод только пробелов в поле ""Описание"".";"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге"
26;Средний;"Ввод цифр в поле ""Описание"".";Появляется сообщение о том, что в данном поле должны присутствовать буквы. Внутри поля появляется красный восклицательный знак.
27;Средний;"Ввод только символов в поле ""Описание""";Появляется сообщение о том, что в данном поле должны присутствовать буквы. Внутри поля появляется красный восклицательный знак.
28;Средний;Ввод описания темы, содержащего символы;"Претензия создана с заполненными данными, присвоен статус "" в работе"". Претензия появляется в общем списке заявок."
29;Средний;Создание претензии со всеми пустыми полями.;"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге."
30;Средний;"Ввод в поле ""Исполнитель"" ФИО нового исполнителя.";Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя видны ФИО нового иполнителя.
31;Средний;"Создание претензии с пустым полем ""Исполнитель""";"Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя надпись - "" НЕ НАЗНАЧЕН"""
32;Средний;"Ввод в поле ""Исполнитель"" только цифр";"Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя надпись - "" НЕ НАЗНАЧЕН"""
33;Средний;"Ввод в поле ""Исполнитель"" только пробелов";"Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя надпись - "" НЕ НАЗНАЧЕН"""
34;Средний;"Ввод в поле ""Исполнитель"" только символов";"Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя надпись - "" НЕ НАЗНАЧЕН"""
35;Средний;Просмотр претензии;Открывается карточка ранее созданной претензии
36;Средний;Добавление комментария к претензии;Комментарий добавлен и виден в карточке претензии.
37;Средний;Добавление комментария к претензии, состоящего только из символов;Комментарий добавлен и виден в карточке претензии.
38;Средний;Добавление комментария к претензии, состоящего только из цифр;Комментарий добавлен и виден в карточке претензии.
39;Средний;Добавление комментария к претензии, состоящего только из пробелов;Появляется сообщение о том, что поле не может быть пустым. Комментарий не добавлен.
40;Средний;Добавление комментария к претензии, содержащего символы.;Комментарий добавлен и виден в карточке претензии.
41;Средний;Редактирование созданного ранее комментария к претензии;Отредактированный комментарий отображается в карточке претензии, исполнитель, дата и время остались те же, что и до редактирования текста.
42;Средний;Фильтрация открытых претензий;"В списке претензий отображаются только претензии со статусом ""Открыта"""
43;Средний;Фильтрация претензий, находящихся в работе;"В списке претензий отображаются только претензии со статусом ""В работе"""
