"Название (Аббр.): Чек-лист для приложения ""Мобильный хоспис"". (MH)";;;;
Описание:;;;;
Статус: Не согласован;;;;
Проверка формы авторизации;;;;
;;;;
№;Приоритет;Проверка;Результат;
1;Средний;В поле логин и пароль введены данные существующего аккаунта;Авторизация прошла успешно. Пользователю виден главный экран c новостями и претензиями.;
2;Средний;Введены данные несуществующего аккаунта;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными.";
3;Средний;Введен несуществующий логин и существующий пароль;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными.";
4;Средний;Введен несущестующий пароль и существующий логин;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными.";
5;Средний;Оставить поля логина и пароля пустыми;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми"".";
6;Средний;Оставить поле логина пустым + существующий пароль;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми"".";
7;Средний;Оставить поле пароля пустым + существующий логин;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми"".";
8;Средний;Ввести пробелы в поля логина и пароля;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми"".";
9;Средний;Ввести пробелы в поле логина и существующий пароль;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми"".";
10;Средний;Ввести пробелы в поле пароля и существующий логин;"Появляется сообщение об ошибке: ""Логин и пароль не могут быть пустыми"".";
11;Средний;Ввести спецсимволы в поля логина и пароля;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными.";
12;Средний;Ввести спецсимволы в поле логина и существующий пароль;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными.";
13;Средний;Ввести спецсимволы в поле пароля и существующий логин;"Появляется сообщение об ошибке: "" Неправильный логин или пароль"". Пользователь остается на экране авторизации , поля заполнены введенными данными.";
;;;;
Проверка раздела претензий;;;;
;;;;
№;Приоритет;Проверка;Результат;
14;Средний;Переход в раздел претензий через Гамбургер-меню;Открывается раздел претензий. Видны ранее созданные претензии, кнопка фильтрации, кнопка создания новой претензии.;
15;Средний;Создание претензии с заполнением всех полей;"Претензия создана с заполненными данными, присвоен статус "" в работе"". Претензия появляется в общем списке заявок.";
16;Средний;"Создание претензии с пустым полем ""Тема""";"Появляется сообщение "" Заполните пустые поля "". Внутри поля появляется красный восклицательный знак в круге.";
17;Средний;"Ввод только пробелов в поле ""Тема"".";"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге.";
18;Средний;Ввод названия темы, содержащего символы;"Претензия создана с заполненными данными, присвоен статус "" в работе"". Претензия появляется в общем списке заявок.";
19;Средний;Создание претензии с пустыми полями даты и времени;"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге.";
20;Средний;Создание претензии с пустым полем даты;"Появляется сообщение "" Заполните пустые поля "". Внутри поля появляется красный восклицательный знак в круге.";
21;Средний;Создание претензии с пустым полем времени;"Появляется сообщение "" Заполните пустые поля "". Внутри поля появляется красный восклицательный знак в круге.";
22;Средний;"Создание претензии с пустым полем ""Описание""";"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге.";
23;Средний;"Ввод только пробелов в поле ""Описание"".";"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге";
24;Средний;Ввод описания темы, содержащего символы;"Претензия создана с заполненными данными, присвоен статус "" в работе"". Претензия появляется в общем списке заявок.";
25;Средний;Создание претензии со всеми пустыми полями.;"Появляется сообщение "" Заполните пустые поля "". Внутри полей появляется красный восклицательный знак в круге.";
26;Средний;"Создание претензии с пустым полем ""Исполнитель""";"Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя надпись - "" НЕ НАЗНАЧЕН""";
27;Средний;"Ввод в поле ""Исполнитель"" только пробелов";"Претензия создана с заполненными данными, при нажатии на претензию напротив исполнителя надпись - "" НЕ НАЗНАЧЕН""";
28;Средний;Просмотр претензии;Открывается карточка ранее созданной претензии;
29;Средний;Добавление комментария к претензии;Комментарий добавлен и виден в карточке претензии.;
30;Средний;Добавление комментария к претензии, состоящего только из символов;Комментарий добавлен и виден в карточке претензии.;
31;Средний;Добавление комментария к претензии, состоящего только из цифр;Комментарий добавлен и виден в карточке претензии.;
32;Средний;Добавление комментария к претензии, состоящего только из пробелов;Появляется сообщение о том, что поле не может быть пустым. Комментарий не добавлен.;
33;Средний;Добавление комментария к претензии, содержащего символы.;Комментарий добавлен и виден в карточке претензии.;
34;Средний;Редактирование созданного ранее комментария к претензии;Отредактированный комментарий отображается в карточке претензии, исполнитель, дата и время остались те же, что и до редактирования текста.;
35;Средний;Фильтрация открытых претензий;"В списке претензий отображаются только претензии со статусом ""Открыта""";
36;Средний;Фильтрация претензий, находящихся в работе;"В списке претензий отображаются только претензии со статусом ""В работе""";
37;Средний;Фильтрация выполненных претензий;"В списке претензий отображаются только претензии со статусом ""Выполнена""";
38;Средний;Фильтрация отмененных претензий;"В списке претензий отображаются только претензии со статусом ""Отменена""";
39;Средний;Фильтр по всем претензиям;В списке претензий отображаются все претензии с присвоенным статусом.;
40;Средний;"Изменение статуса претензии с ""Открыта"" на ""В работе""";"Статус претензии изменен на ""В работе""";
41;Средний;"Изменение статуса претензии с ""Открыта"" на ""Отменена""";"Статус претензии изменен на ""Отменена""";
42;Средний;"Изменение статуса претензии с ""В работе"" на ""Открыта""";"Статус претензии изменен на ""Открыта""";
43;Средний;"Изменение статуса претензии с ""В работе"" на ""Выполнена""";"Статус претензии изменен на ""Выполнена""";
44;Средний;"Редактирование темы претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированная тема;
45;Средний;"Редактирование исполнителя претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированный исполнитель;
46;Средний;"Редактирование даты претензии, находящейся в статусе ""Открыта""";В карточке претензии отображается отредактированная дата;
